item,location,time,notes,urgency
Blue scarf,Ice rink,2:00 PM,,
Blue scarf,Ice skating area,2:15 PM,,
iPhone 13 Pro,Storytelling tent,3:00 PM,Black case,URGENT
Red mitten,Cocoa booth,2:30 PM,Child size,
Red mitten,Hot cocoa stand,2:35 PM,Child size,
Gold wedding ring,Storytelling tent,3:15 PM,,URGENT
Car keys,Parking lot B,4:00 PM,Toyota,
Toyota car keys,Parking lot B,4:10 PM,With remote,
Black wallet,Main entrance,2:45 PM,Leather,URGENT
Reading glasses,Food court,3:30 PM,,
Green jacket,Coat check,5:00 PM,Puffy,
Brown teddy bear,Kids zone,1:00 PM,,
Brown teddy bear,Children's area,1:15 PM,Large,
Blue water bottle,Vendor booth 3,2:20 PM,Metal,
AirPods,Main stage,4:30 PM,White case,URGENT
Silver watch,Bathroom,3:45 PM,,
House keys,Parking lot,4:15 PM,3 keys on ring,
Purple backpack,Storytelling tent,3:00 PM,,
Pink hat,Kids play area,1:45 PM,Knitted,
Phone charger,Food court,3:15 PM,iPhone cable,
