# Day 2: Peak Crowd Day - 35 Items
# Festival date: December 16, 2024
# The busiest day with urgent items everywhere!

Samsung Galaxy S23, cracked screen, ice rink, 1:30pm - URGENT
black gloves (leather), cocoa booth, 2pm
BLACK LEATHER GLOVES, hot chocolate stand, 2:10pm
gold wedding ring, storytelling tent, 3:15pm - URGENT!!!
driver's license and credit cards, main entrance, 11am - URGENT
car keys (Honda Civic), parking lot C, 4:45pm
honda car keys, parking area C, 5pm
grey wool scarf, ice skating area, 2:30pm
Gray scarf (wool), ice rink, 2:45pm
prescription sunglasses (Ray-Ban), food court, 1pm
child's blue mittens (pair), kids zone, 12:30pm
Nintendo Switch, black case, vendor area, 3pm - URGENT
red winter coat (North Face), coat check, 6pm
RED NORTH FACE JACKET, coat check area, 6:15pm
white stuffed bunny, children's play area, 11:30am
White rabbit plush toy, kids zone, 11:45am
MacBook Air (silver), storytelling tent, 2pm - URGENT!!!
green beanie hat, ice rink, 3:15pm
house keys with pink keychain, bathroom, 1:45pm
black crossbody purse, vendor booth 5, 2:30pm - urgent
iPhone charger cable (white), food court, 12pm
iphone charging cable, food court table 3, 12:15pm
brown wallet (men's), parking lot entrance, 4pm
car keys - Subaru, parking lot B, 3:30pm
yellow rain jacket, main entrance, 5:30pm
Blue backpack (Jansport), storytelling area, 1:30pm
silver hoop earrings, bathroom area, 2:15pm - valuable
green water bottle (Hydro Flask), vendor area, 11am
smartwatch (Apple Watch), ice rink, 4pm - URGENT
prescription glasses (brown frames), cocoa booth, 3pm
READING GLASSES brown frame, hot cocoa stand, 3:10pm
child's pink snow boots (size 2), kids area, 1pm
digital camera (Canon), main stage area, 5pm - URGENT
red scarf with white stripes, ice skating rink, 2pm
wool mittens (grey), coat check, 4:30pm
